open_date,direction,displacement_category,entry_time,pivot_time,flem_time,current_time,label,retrace,pivot_price,flem_price,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,score,pred_top2
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:18:00-05:00,0,-19.02380952380953,21018.75,21039.75,21.0,15300.0,7.75,170.0,4.594594594594595,0.5135135135135135,4,37,1.4849172110242911e-12,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:18:30-05:00,0,-18.97619047619047,21018.75,21039.75,21.0,15330.0,0.5,170.5,4.4868421052631575,0.5263157894736842,4,38,2.319678001015427e-12,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:19:00-05:00,0,-18.797619047619047,21018.75,21039.75,21.0,15360.0,3.75,174.25,4.467948717948718,0.5384615384615384,4,39,2.994010906159791e-12,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:19:30-05:00,0,-19.095238095238095,21018.75,21039.75,21.0,15390.0,5.75,180.0,4.5,0.525,4,40,3.926950701164492e-12,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:20:00-05:00,0,-19.404761904761905,21018.75,21039.75,21.0,15420.0,5.75,185.75,4.530487804878049,0.5121951219512195,4,41,5.363896688527223e-12,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:20:30-05:00,0,-19.571428571428573,21018.75,21039.75,21.0,15450.0,4.0,189.75,4.517857142857143,0.5,4,42,7.525751796255021e-12,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:21:00-05:00,0,-19.583333333333332,21018.75,21039.75,21.0,15480.0,0.25,190.0,4.4186046511627906,0.5116279069767442,4,43,1.0965544678770841e-11,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:21:30-05:00,0,-19.77380952380953,21018.75,21039.75,21.0,15510.0,3.25,193.25,4.392045454545454,0.5,4,44,1.3926564245963295e-11,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:22:00-05:00,0,-20.0,21018.75,21039.75,21.0,15540.0,5.25,198.5,4.411111111111111,0.4888888888888889,4,45,1.8248861599030173e-11,0
2025-02-28,long,medium,2025-02-28 10:04:59-05:00,2025-02-28 05:03:00-05:00,2025-02-28 05:02:00-05:00,2025-02-28 09:22:30-05:00,0,-20.0,21018.75,21039.75,21.0,15570.0,0.75,199.25,4.331521739130435,0.5,4,46,2.7132805129533083e-11,0
