open_date,direction,entry_time,pivot_time,outcome,label_win,retrace,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,zone_over_range,pivot_over_range,dist_to_extrema_atr,zone_to_extrema_atr,hod_rel_entry_atr,lod_rel_entry_atr
2025-04-08,short,2025-04-08 11:06:00-04:00,2025-04-08 11:03:00-04:00,win,1,0.4225352112676056,71.0,180.0,20.25,50.75,7.25,0.5714285714285714,4,7,0.1313559322033898,0.2406779661016949,2.340273646638906,2.839976204640095,0.0,2.340273646638906
2025-04-09,long,2025-04-09 09:36:00-04:00,2025-04-09 09:35:00-04:00,loss,0,0.512087912087912,113.75,60.0,28.5,59.75,19.916666666666668,0.6666666666666666,2,3,0.4805970149253731,0.6791044776119403,1.0249033920137398,1.0459424645770716,1.0249033920137398,0.0
2025-04-10,long,2025-04-10 09:35:00-04:00,2025-04-10 09:34:00-04:00,win,1,0.5734597156398105,52.75,60.0,9.25,95.5,31.833333333333332,0.3333333333333333,1,3,0.5538461538461539,0.4057692307692307,0.79842784952274,0.4278495227400337,0.79842784952274,0.0
2025-04-10,short,2025-04-10 09:55:00-04:00,2025-04-10 09:54:00-04:00,win,1,0.7119565217391305,46.0,60.0,18.75,45.75,15.25,1.0,3,3,0.374025974025974,0.2389610389610389,0.8265524625267666,1.5203426124197,0.0,0.8265524625267666
2025-04-11,short,2025-04-11 09:38:00-04:00,2025-04-11 09:37:00-04:00,loss,0,0.6247334754797441,117.25,60.0,21.25,61.25,20.416666666666668,0.6666666666666666,2,3,0.5227722772277228,0.9287128712871288,0.9931565440547476,0.927715996578272,0.0,0.9931565440547476
2025-04-11,short,2025-04-11 11:11:00-04:00,2025-04-11 11:11:00-04:00,win,1,0.3535620052770448,94.75,0.0,18.75,18.75,18.75,1.0,1,1,0.1746031746031746,0.2506613756613756,2.2505694760820045,2.6195899772209565,0.0,2.2505694760820045
2025-04-11,long,2025-04-11 11:43:00-04:00,2025-04-11 11:42:00-04:00,win,1,0.5250836120401338,74.75,60.0,5.5,31.75,10.583333333333334,0.3333333333333333,1,3,0.1746031746031746,0.1977513227513227,3.707006369426752,4.286624203821656,3.707006369426752,0.0
2025-04-15,long,2025-04-15 09:38:00-04:00,2025-04-15 09:36:00-04:00,win,1,0.5602836879432624,70.5,120.0,4.75,72.75,14.55,0.8,3,5,0.3210702341137124,0.94314381270903,0.6778523489932886,1.3624161073825505,0.6778523489932886,0.0
2025-04-15,short,2025-04-15 10:30:00-04:00,2025-04-15 10:29:00-04:00,loss,0,0.4070796460176991,56.5,60.0,24.0,40.5,13.5,0.3333333333333333,1,3,0.1095890410958904,0.2579908675799087,1.603284356093345,1.0224719101123596,0.0,1.603284356093345
2025-04-15,long,2025-04-15 10:41:00-04:00,2025-04-15 10:41:00-04:00,win,1,0.3571428571428571,66.5,0.0,4.25,4.25,4.25,0.0,0,1,0.1095890410958904,0.3036529680365297,5.210962396430848,5.451880178457617,5.210962396430848,0.0
2025-04-15,long,2025-04-15 10:50:00-04:00,2025-04-15 10:47:00-04:00,loss,0,0.5679611650485437,103.0,180.0,21.0,82.5,11.785714285714286,0.5714285714285714,3,7,0.1095890410958904,0.4703196347031963,3.972193614830072,4.404737384140062,3.972193614830072,0.0
2025-04-15,long,2025-04-15 11:40:00-04:00,2025-04-15 11:39:00-04:00,loss,0,0.3524096385542168,83.0,60.0,1.5,22.0,7.333333333333333,0.6666666666666666,2,3,0.1095890410958904,0.3789954337899543,5.700799999999999,6.8431999999999995,5.700799999999999,0.0
2025-04-16,long,2025-04-16 09:36:00-04:00,2025-04-16 09:36:00-04:00,win,1,0.5,48.0,0.0,0.75,0.75,0.75,1.0,1,1,0.7828571428571428,0.5485714285714286,0.6053357865685373,0.4894204231830727,0.6053357865685373,0.0
2025-04-16,short,2025-04-16 09:59:00-04:00,2025-04-16 09:59:00-04:00,loss,0,0.7704081632653061,49.0,0.0,7.25,7.25,7.25,1.0,1,1,0.4391025641025641,0.3141025641025641,0.5370843989769821,1.7723785166240411,0.0,0.5370843989769821
2025-04-16,short,2025-04-16 10:14:00-04:00,2025-04-16 10:13:00-04:00,loss,0,0.4794520547945205,73.0,60.0,7.25,20.75,6.916666666666667,1.0,3,3,0.4047267355982274,0.431314623338257,2.479166666666667,2.815705128205128,0.0,2.479166666666667
