day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2024-08-30,short,long,2024-08-30 10:53:00-04:00,19563.5,2024-08-30 10:54:00-04:00,19540.0,1645.0,35,490.0,loss,direction_flip,19556.5,19590.75,2024-08-30 10:52:00-04:00,2024-08-30 10:52:00-04:00,2024-08-30 10:53:00-04:00,7.0,19572.0,2024-08-30 10:54:00-04:00,19556.5,0.19708029197080293,0,False,0.7106739401817321,True
2024-08-30,short,short,2024-08-30 10:57:00-04:00,19525.75,2024-08-30 10:58:00-04:00,19498.5,545.0,10,460.0,win,target,19548.75,19531.0,2024-08-30 10:56:00-04:00,2024-08-30 10:56:00-04:00,2024-08-30 10:56:00-04:00,23.0,19498.25,,,1.2816901408450705,0,False,0.7399631857872009,False
2024-09-02,short,long,2024-09-02 09:34:00-04:00,19620.5,2024-09-02 09:35:00-04:00,19617.5,600.0,100,500.0,loss,stop,19618.0,19630.75,2024-09-02 09:33:00-04:00,2024-09-02 09:33:00-04:00,2024-09-02 09:34:00-04:00,2.5,19623.5,2024-09-02 09:35:00-04:00,19618.0,0.17647058823529413,0,False,0.6700523376464844,True
2024-09-02,short,short,2024-09-02 10:18:00-04:00,19592.25,2024-09-02 10:33:00-04:00,19630.0,-679.5,9,468.0,loss,direction_flip,19618.25,19612.5,2024-09-02 10:05:00-04:00,2024-09-02 10:05:00-04:00,2024-09-02 10:05:00-04:00,26.0,19561.0,2024-09-02 10:33:00-04:00,19618.25,4.478260869565218,1,False,0.6499415397644043,False
2024-09-04,long,long,2024-09-04 09:39:00-04:00,18896.5,2024-09-04 09:41:30-04:00,18923.5,540.0,10,455.0,win,target,18873.75,18928.75,2024-09-04 09:38:00-04:00,2024-09-04 09:38:00-04:00,2024-09-04 09:38:00-04:00,22.75,18923.75,,,0.4090909090909091,0,False,0.6927668452262878,False
2024-09-05,long,long,2024-09-05 09:36:00-04:00,18949.75,2024-09-05 09:39:00-04:00,19000.5,507.5,5,425.0,win,target,18907.25,18946.5,2024-09-05 09:35:00-04:00,2024-09-05 09:35:00-04:00,2024-09-05 09:36:00-04:00,42.5,19000.75,,,1.0764331210191083,1,False,0.7986069917678833,False
2024-09-05,long,short,2024-09-05 11:29:00-04:00,18877.5,2024-09-05 11:31:30-04:00,18863.25,-570.0,20,480.0,win,target,18889.5,18866.0,2024-09-05 11:28:00-04:00,2024-09-05 11:28:00-04:00,2024-09-05 11:28:00-04:00,12.0,18863.0,,,0.5,0,False,0.7318725943565368,True
2024-09-05,long,short,2024-09-05 11:38:00-04:00,18892.75,2024-09-05 11:39:30-04:00,18885.75,-574.0,41,492.0,win,target,18898.75,18842.0,2024-09-05 11:37:00-04:00,2024-09-05 11:37:00-04:00,2024-09-05 11:38:00-04:00,6.0,18885.5,,,0.1013215859030837,0,False,0.8065240740776062,True
2024-09-05,short,short,2024-09-05 11:42:00-04:00,18887.75,2024-09-05 11:50:30-04:00,18870.25,560.0,16,472.0,win,target,18902.5,18842.0,2024-09-05 11:41:00-04:00,2024-09-05 11:41:00-04:00,2024-09-05 11:41:00-04:00,14.75,18870.0,,,0.2396694214876033,0,False,0.7002573013305664,False
2024-09-05,long,short,2024-09-05 11:53:00-04:00,18893.0,2024-09-05 11:54:00-04:00,18881.75,-585.0,26,494.0,win,target,18902.5,18842.0,2024-09-05 11:52:00-04:00,2024-09-05 11:52:00-04:00,2024-09-05 11:53:00-04:00,9.5,18881.5,,,0.15289256198347106,1,False,0.8068681359291077,True
